State,Median Home Value (dollars)
Alabama,"200,900"
Alaska,"336,900"
Arizona,"402,800"
Arkansas,"179,800"
California,"715,900"
Colorado,"531,100"
Connecticut,"347,200"
Delaware,"337,200"
District of Columbia,"711,100"
Florida,"354,100"
Georgia,"297,400"
Hawaii,"820,100"
Idaho,"432,500"
Illinois,"251,600"
Indiana,"208,700"
Iowa,"194,600"
Kansas,"206,600"
Kentucky,"196,300"
Louisiana,"209,200"
Maine,"290,600"
Maryland,"398,100"
Massachusetts,"534,700"
Michigan,"224,400"
Minnesota,"314,600"
Mississippi,"162,500"
Missouri,"221,200"
Montana,"366,400"
Nebraska,"232,400"
Nevada,"434,700"
New Hampshire,"384,700"
New Jersey,"428,900"
New Mexico,"243,100"
New York,"400,400"
North Carolina,"280,600"
North Dakota,"243,100"
Ohio,"204,100"
Oklahoma,"191,700"
Oregon,"475,600"
Pennsylvania,"245,500"
Rhode Island,"383,900"
South Carolina,"254,600"
South Dakota,"245,000"
Tennessee,"284,800"
Texas,"275,400"
Utah,"499,500"
Vermont,"304,700"
Virginia,"365,700"
Washington,"569,500"
West Virginia,"155,100"
Wisconsin,"252,800"
Wyoming,"292,300"
Puerto Rico,"122,200"
    Estimate,"122,200"
